"shared_fn" "total_fn" "share_percentage_fn" "coverage_line_count" "total_line_count" "coverage_percentage" "coverage_bucket" "contrib_count" "commit_count" "branch_count"
"joni" 87 939 9.25531914893617 22891 37743 60.6496568900193 "60%" 9 133 2
"annotation-cli" 3 18 15.7894736842105 1612 2235 72.1252796420582 "70%" 1 19 2
"athena" 20 65 30.3030303030303 0 646 0 "0%" 1 1 2
"wsn-device-utils" 27 110 24.3243243243243 729 4114 17.7199805542052 "20%" 3 117 4
"ldap-tools" 3 15 18.75 0 648 0 "0%" 3 49 2
"aclm" 31 252 12.2529644268775 3193 5226 61.0983543819365 "60%" 5 48 3
"Twig-Eclipse-Plugin" 192 1029 18.6407766990291 0 21350 0 "0%" 4 404 4
"NoCheat" 45 245 18.2926829268293 0 4150 0 "0%" 1 397 6
"crunch" 277 1404 19.7153024911032 20666 38125 54.2059016393443 "50%" 11 383 3
"jopt-simple" 30 217 13.7614678899083 3661 3665 99.8908594815825 "100%" 4 37 4
"config-magic" 15 74 20 2288 3132 73.0523627075351 "70%" 8 118 2
"droolsjbpm-knowledge" 374 1076 34.7260909935005 0 5067 0 "0%" 41 1138 6
"webapp-runner" 2 12 15.3846153846154 259 784 33.0357142857143 "30%" 5 56 3
"violations-plugin" 124 525 23.574144486692 3911 13644 28.6646144825564 "30%" 20 386 3
"prairie-ome-tiff" 1 2 33.3333333333333 0 79 0 "0%" 4 20 2
"autorun" 8 14 53.3333333333333 0 168 0 "0%" 1 1 2
"modeshape" 2491 11769 21.1639762107052 19561 32172 60.8013179162004 "60%" 27 3044 6
"Java-Thread-Affinity" 17 119 14.1666666666667 1616 3139 51.4813634915578 "50%" 6 120 2
"jbpm" 1372 6619 20.7250755287009 62173 131420 47.3086288236189 "50%" 37 1009 11
"Socket.IO-Java" 126 455 27.6315789473684 0 4415 0 "0%" 5 116 2
"org.ops4j.pax.runner" 203 786 25.7941550190597 6175 10783 57.2660669572475 "60%" 28 1061 5
"infinispan-quickstart" 20 56 35.0877192982456 0 673 0 "0%" 4 80 2
"performance-plugin" 55 275 19.9275362318841 2001 6173 32.4153572007128 "30%" 16 195 3
"calculon" 6 148 4.02684563758389 65 2052 3.16764132553606 "0%" 9 63 2
"jongo" 18 141 12.6760563380282 974 2187 44.53589391861 "40%" 9 290 9
"JsonPath" 36 305 11.7647058823529 4053 5088 79.6580188679245 "80%" 7 97 2
